length_bin	total_reads	explained_reads	mapped_reads	mean_best_identity	mean_best_query_cov	explained_fraction	mapped_fraction
0-99	4	2	2	0.5	0.3158244680851064	0.5	0.5
100-199	277	20	62	0.21874621886530254	0.0987340344741661	0.07220216606498195	0.22382671480144403
200-399	1623	215	735	0.41622709030055693	0.18773316524172315	0.13247073321010475	0.45286506469500926
400-799	1900	268	1093	0.4788944570870381	0.25703750567618205	0.14105263157894737	0.5752631578947368
800-1199	522	68	348	0.5397915837206949	0.2969003010758322	0.13026819923371646	0.6666666666666666
1200-1999	220	41	170	0.6365134416193617	0.3513483971565127	0.18636363636363637	0.7727272727272727
2000-4999	40	6	31	0.6833851053153395	0.3316530416558523	0.15	0.775
