length_bin	total_reads	explained_reads	mapped_reads	mean_best_identity	mean_best_query_cov	explained_fraction	mapped_fraction
0-99	2	0	0	0.0	0.0	0.0	0.0
100-199	257	5	13	0.04252343314340364	0.033015907688927454	0.019455252918287938	0.05058365758754864
200-399	1408	10	145	0.08797159801252392	0.03720942198764431	0.007102272727272727	0.10298295454545454
400-799	1632	38	173	0.08887400556329048	0.051396919086053136	0.023284313725490197	0.10600490196078431
800-1199	454	6	50	0.0934149864457493	0.05004057631186503	0.013215859030837005	0.11013215859030837
1200-1999	179	1	21	0.09968427490114325	0.03924611769523573	0.00558659217877095	0.11731843575418995
2000-4999	34	0	0	0.0	0.0	0.0	0.0
